ID,LASTNAME,FIRSTNAME,STATE,PHONE,EMAIL,GRADYEAR,GPA,PROGRAM,NEWSLETTER
526993,Oneal, Lazaro, Washington D.C., (202) 555-4164, loneal@alumni.rouxacademy.com,2009,2.33, Photography, YES
710325,Salinas, Dorie, California, (661) 555-4600, dsalinas@alumni.rouxacademy.com,2006,2.26, Animation, YES
496813,Hooper, Mathilde, Tennessee, (423) 555-4124, mhooper@alumni.rouxacademy.com,2000,2.56, Fashion and Textile Design, YES
740631,Gomez, Nell, New Jersey, (732) 555-7878, ngomez@alumni.rouxacademy.com,2003,2.22, Animation, YES
490888,Jordan, Lachelle, North Carolina, (919) 555-3200, ljordan@alumni.rouxacademy.com,2003,2.13, Photography, YES
922492,Waller, Claud, Michigan, (586) 555-0661, cwaller@alumni.rouxacademy.com,2004,3.6, Graphic Design, YES
264843,Steele, Bob, Florida, (305) 555-4039, bsteele@alumni.rouxacademy.com,2002,2.79, Animation, NO
885463,Welch, Zelma, Maine, (207) 555-0992, zwelch@alumni.rouxacademy.com,2007,3.69, Graphic Design, NO
932104,Mejia, Jayna, Virginia, (757) 555-3060, jmejia@alumni.rouxacademy.com,2007,3.84, Fashion and Textile Design, YES
987671,Salinas, Curtis, New Jersey, (862) 555-7095, csalinas@alumni.rouxacademy.com,2002,2.41, Fine Art and Visual Culture, YES
841726,Justice, Genevie, Texas, (915) 555-1170, gjustice@alumni.rouxacademy.com,2004,2.52, Fashion and Textile Design, NO
664183,Durham, Cynthia, Mississippi, (601) 555-2641, cdurham@alumni.rouxacademy.com,2003,3.68, Fashion and Textile Design, NO
113028,Washington, Gay, New Jersey, (551) 555-4848, gwashington@alumni.rouxacademy.com,2003,3.45, Animation, NO
247664,Ochoa, Margareta, Ohio, (513) 555-4231, mochoa@alumni.rouxacademy.com,2004,3.92, Fashion and Textile Design, NO
235808,Martinez, Tamatha, Arkansas, (479) 555-8717, tmartinez@alumni.rouxacademy.com,2000,3.53, Fashion and Textile Design, NO
740027,Valencia, Alexander, Pennsylvania, (814) 555-5428, avalencia@alumni.rouxacademy.com,2004,3.33, Fine Art and Visual Culture, NO
568129,Duncan, Roxie, Virginia, (540) 555-2064, rduncan@alumni.rouxacademy.com,2002,3.37, Animation, YES
781026,Gay, Antionette, Florida, (305) 555-7759, agay@alumni.rouxacademy.com,2009,2.11, Fashion and Textile Design, NO
961284,Patel, Wilson, Virginia, (571) 555-1788, wpatel@alumni.rouxacademy.com,2000,3.03, Fashion and Textile Design, NO
344652,Boone, Christiana, California, (213) 555-9503, cboone@alumni.rouxacademy.com,2008,2.35, Fashion and Textile Design, NO
897051,Glenn, Verda, California, (424) 555-0675, vglenn@alumni.rouxacademy.com,2011,3.21, Animation, YES
222435,Hubbard, Deetta, New York, (607) 555-5081, dhubbard@alumni.rouxacademy.com,2004,3.12, Graphic Design, YES
666780,Reid, Nelida, Pennsylvania, (412) 555-4073, nreid@alumni.rouxacademy.com,2000,2.59, Photography, YES
351396,Richards, Deneen, Maine, (207) 555-8062, drichards@alumni.rouxacademy.com,2004,2.65, Animation, NO
187947,Drake, Lauryn, New York, (716) 555-1677, ldrake@alumni.rouxacademy.com,2005,3.47, Animation, NO
13827,Solomon, Trista, California, (530) 555-8977, tsolomon@alumni.rouxacademy.com,2000,2.48, Graphic Design, YES
810924,Bender, Benito, Ohio, (419) 555-0179, bbender@alumni.rouxacademy.com,2003,3.2, Photography, YES
833159,Riddle, Deane, Pennsylvania, (484) 555-1257, driddle@alumni.rouxacademy.com,2008,3.01, Fine Art and Visual Culture, YES
475026,Vargas, Fe, Oklahoma, (539) 555-9542, fvargas@alumni.rouxacademy.com,2004,3.84, Fine Art and Visual Culture, YES
878244,Huber, Pok, Illinois, (872) 555-1063, phuber@alumni.rouxacademy.com,2004,2.14, Fine Art and Visual Culture, YES
988777,Zamora, Stephenie, Pennsylvania, (724) 555-4205, szamora@alumni.rouxacademy.com,2006,3.3, Photography, NO
58944,Williams, Loyd, West Virginia, (681) 555-5419, lwilliams@alumni.rouxacademy.com,2005,3.36, Fine Art and Visual Culture, YES
206061,Faulkner, Trinidad, Minnesota, (763) 555-2571, tfaulkner@alumni.rouxacademy.com,2005,2.21, Animation, YES
227376,Haley, Susie, California, (650) 555-2614, shaley@alumni.rouxacademy.com,2003,2.41, Graphic Design, YES
697664,Hinton, Joe, Nebraska, (402) 555-9730, jhinton@alumni.rouxacademy.com,2006,2.83, Fine Art and Visual Culture, NO
934313,Jarvis, Sixta, New York, (646) 555-6458, sjarvis@alumni.rouxacademy.com,2004,2.35, Animation, NO
556359,Boyer, Marguerite, Michigan, (906) 555-6595, mboyer@alumni.rouxacademy.com,2009,3.49, Fashion and Textile Design, YES
708029,Bradley, Jean, Massachusetts, (508) 555-6317, jbradley@alumni.rouxacademy.com,2001,2.48, Fashion and Textile Design, YES
355377,Cantrell, Shayna, Mississippi, (601) 555-1744, scantrell@alumni.rouxacademy.com,2003,3.63, Animation, YES
47355,Donaldson, Rubye, New Hampshire, (603) 555-4554, rdonaldson@alumni.rouxacademy.com,2006,3.09, Animation, YES
244837,Kelley, Darcey, New Mexico, (505) 555-9879, dkelley@alumni.rouxacademy.com,2011,2.39, Photography, YES
15974,Buckley, Virgil, New York, (716) 555-2850, vbuckley@alumni.rouxacademy.com,2006,2.98, Graphic Design, NO
835619,Reilly, Gale, North Carolina, (252) 555-6627, greilly@alumni.rouxacademy.com,2002,2.02, Fashion and Textile Design, NO
994856,Puckett, Horacio, Louisiana, (504) 555-3409, hpuckett@alumni.rouxacademy.com,2009,3.41, Fashion and Textile Design, YES
464950,Buckner, Fannie, Kansas, (913) 555-4770, fbuckner@alumni.rouxacademy.com,2004,2.3, Animation, NO
952969,Sawyer, Stephani, Florida, (772) 555-4992, ssawyer@alumni.rouxacademy.com,2009,2.36, Fashion and Textile Design, YES
666437,Hester, Abraham, Alabama, (938) 555-7660, ahester@alumni.rouxacademy.com,2010,3.82, Animation, YES
837202,George, Prince, Michigan, (248) 555-1254, pgeorge@alumni.rouxacademy.com,2001,2.47, Graphic Design, YES
422379,Thompson, Ted, New York, (516) 555-8791, tthompson@alumni.rouxacademy.com,2010,3.9, Fine Art and Visual Culture, YES
113890,Moss, Lesha, California, (949) 555-8191, lmoss@alumni.rouxacademy.com,2000,3.56, Photography, NO
846575,Kirby, Marx, Kentucky, (606) 555-0695, mkirby@alumni.rouxacademy.com,2008,3.95, Fashion and Textile Design, YES
401251,Kaufman, Kary, New Jersey, (609) 555-0480, kkaufman@alumni.rouxacademy.com,2010,3.68, Animation, YES
918013,Clemons, Donya, Pennsylvania, (267) 555-3899, dclemons@alumni.rouxacademy.com,2004,2.49, Fine Art and Visual Culture, NO
969701,Frank, Genie, Mississippi, (228) 555-2204, gfrank@alumni.rouxacademy.com,2001,3.36, Fashion and Textile Design, NO
662740,Gutierrez, Ned, Minnesota, (218) 555-5756, ngutierrez@alumni.rouxacademy.com,2003,3.65, Photography, YES
315013,Ross, Aleisha, Arizona, (520) 555-2444, aross@alumni.rouxacademy.com,2006,3.97, Graphic Design, YES
94188,Barrett, Jade, Illinois, (331) 555-3727, jbarrett@alumni.rouxacademy.com,2005,3.11, Graphic Design, NO
920283,Mcleod, Wm, Oklahoma, (405) 555-5381, wmcleod@alumni.rouxacademy.com,2003,3.3, Photography, YES
64992,Shaffer, Gilberte, Vermont, (802) 555-2498, gshaffer@alumni.rouxacademy.com,2003,3.92, Fine Art and Visual Culture, NO
551571,Pitts, Nydia, Kentucky, (859) 555-4374, npitts@alumni.rouxacademy.com,2002,3.85, Fashion and Textile Design, NO
673150,Cook, Andera, Michigan, (586) 555-0735, acook@alumni.rouxacademy.com,2010,3.22, Fashion and Textile Design, NO
690913,Shaw, Mellisa, Alabama, (256) 555-6180, mshaw@alumni.rouxacademy.com,2000,3.78, Fine Art and Visual Culture, YES
257056,Floyd, Kenneth, North Carolina, (980) 555-2233, kfloyd@alumni.rouxacademy.com,2002,2.47, Photography, NO
416321,Case, Damion, California, (714) 555-0096, dcase@alumni.rouxacademy.com,2002,3.4, Fashion and Textile Design, YES
118630,Meyer, Shiela, Rhode Island, (401) 555-2131, smeyer@alumni.rouxacademy.com,2007,3.81, Photography, YES
351376,Marks, Tuan, California, (213) 555-9801, tmarks@alumni.rouxacademy.com,2000,3.67, Fashion and Textile Design, NO
23051,Potter, Maddie, North Carolina, (980) 555-8617, mpotter@alumni.rouxacademy.com,2005,2.55, Animation, NO
267615,Hoffman, Mitch, Virginia, (276) 555-7476, mhoffman@alumni.rouxacademy.com,2007,2.64, Fine Art and Visual Culture, YES
570576,Cochran, Reba, Ohio, (234) 555-5476, rcochran@alumni.rouxacademy.com,2003,2.46, Graphic Design, YES
706765,Hendricks, Lenna, New York, (716) 555-5333, lhendricks@alumni.rouxacademy.com,2002,3.1, Photography, YES
160383,Salazar, Lonnie, Wisconsin, (534) 555-1346, lsalazar@alumni.rouxacademy.com,2010,3.25, Fine Art and Visual Culture, YES
237220,Orr, Clarence, Ohio, (740) 555-6411, corr@alumni.rouxacademy.com,2009,3.56, Fine Art and Visual Culture, NO
637472,Booker, Hector, Michigan, (517) 555-2193, hbooker@alumni.rouxacademy.com,2001,2.29, Fashion and Textile Design, YES
485408,Norman, Judie, Delaware, (302) 555-0016, jnorman@alumni.rouxacademy.com,2007,2.96, Photography, NO
198994,Kline, Norah, Florida, (321) 555-3554, nkline@alumni.rouxacademy.com,2001,3.66, Photography, YES
547891,Scott, Issac, West Virginia, (304) 555-9677, iscott@alumni.rouxacademy.com,2004,3.93, Fashion and Textile Design, NO
671308,Patel, Takisha, Ohio, (567) 555-2569, tpatel@alumni.rouxacademy.com,2006,2.7, Fashion and Textile Design, YES
607722,Marquez, Kathaleen, Missouri, (660) 555-0062, kmarquez@alumni.rouxacademy.com,2001,2.41, Animation, YES
726557,Spence, Tyron, California, (408) 555-9863, tspence@alumni.rouxacademy.com,2010,2.21, Fine Art and Visual Culture, NO
